Rank,Artist,Song,Popularity,URL
1,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),79,https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2
2,Ariana Grande,Doin' Time,77,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
3,Ariana Grande,Young And Beautiful,75,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9
4,Ariana Grande,Fuck it I love you,74,https://open.spotify.com/track/7MtVPRGtZl6rPjMfLoI3Lh
5,Ariana Grande,Norman fucking Rockwell,73,https://open.spotify.com/track/3RIgHHpnFKj5Rni1shokDj
6,Ariana Grande,Cinnamon Girl,72,https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e
7,Ariana Grande,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,72,https://open.spotify.com/track/6PUIzlqotEmPuBfjbwYWOB
8,Ariana Grande,hope is a dangerous thing for a woman like me to have - but I have it,72,https://open.spotify.com/track/0fB77VOZ2FkQeKLv1DuEwp
9,Ariana Grande,Mariners Apartment Complex,71,https://open.spotify.com/track/6OG05bPAwUuV3OMvy2Vy1P
10,Ariana Grande,Summertime Sadness,59,https://open.spotify.com/track/0l2HaL3nbp9AFJ428p4yaA
1,Brigitte Bardot,Bonnie And Clyde,56,https://open.spotify.com/track/358jMpTqOfIOYjpcg2Ig2j
2,Brigitte Bardot,Je suis venu te dire que je m'en vais,55,https://open.spotify.com/track/5cC9RZFMzrpbA9U1m4zSPm
3,Brigitte Bardot,La javanaise,53,https://open.spotify.com/track/7cUKT1Wiwve4E5iRFOLVmz
4,Brigitte Bardot,La chanson de Prévert,51,https://open.spotify.com/track/0Y04xGwKImCqVSFZQI5All
5,Brigitte Bardot,Couleur café,38,https://open.spotify.com/track/5wU2HvqNDljN1GhTvOxWye
6,Brigitte Bardot,L'anamour,38,https://open.spotify.com/track/3JXetADcHjmpQh1kSPuJgV
7,Brigitte Bardot,Initials B.B.,48,https://open.spotify.com/track/5hjsmSnUefdUqzsDogisiX
8,Brigitte Bardot,Je t'aime moi non plus,48,https://open.spotify.com/track/5P0tWr5JZqDoi5wq2OalFH
9,Brigitte Bardot,Ballade de Melody Nelson,47,https://open.spotify.com/track/1wPNVQqGT9LG39nzeyzIvF
10,Brigitte Bardot,Melody,47,https://open.spotify.com/track/1fWUWwXvAxlLEwJOVq67zE
1,Reba McEntire,The Night The Lights Went Out In Georgia,63,https://open.spotify.com/track/2MiXC2LfpsoeUP5RvMGEQ3
2,Reba McEntire,Fancy,58,https://open.spotify.com/track/0FtV0YbnnjD7PXpLHFHPhn
3,Reba McEntire,Consider Me Gone,57,https://open.spotify.com/track/0fNCLvSVUEK7NTwhu5vk5B
4,Reba McEntire,Back To God,52,https://open.spotify.com/track/17na7DhhBLsajSS7Vb38Fe
5,Reba McEntire,Because Of You,51,https://open.spotify.com/track/5LGEfWqwgYL16tyXkrRC8J
6,Reba McEntire,"If You See Him, If You See Her",51,https://open.spotify.com/track/4TxIFLRMUxNh4n9h4RLsaE
7,Reba McEntire,Does He Love You,50,https://open.spotify.com/track/3IDK0isTMm8E4ynYqEkqrJ
8,Reba McEntire,Is There Life Out There,50,https://open.spotify.com/track/1NIUECyq3vHFrWeFGKvESB
9,Reba McEntire,How Was I To Know,49,https://open.spotify.com/track/6sz2h1zD1d7clz6Y9hb496
10,Reba McEntire,The Fear Of Being Alone,48,https://open.spotify.com/track/5NFtmubmKmQ3rSs0TWLkde
1,Eagles Of Death Metal,Miss Alissa,47,https://open.spotify.com/track/1dlgaGdQXmsYKMRuewIZkF
2,Eagles Of Death Metal,Wannabe In L.A,47,https://open.spotify.com/track/68HGqHHc41qmJHUWlLUKCd
3,Eagles Of Death Metal,Save A Prayer,52,https://open.spotify.com/track/3NA45jwwGH28LsHthauYK0
4,Eagles Of Death Metal,"Blinded By The Light - From ""Super Troopers 2"" Soundtrack",50,https://open.spotify.com/track/3kgtj0csPcN5uqPyEObXu9
5,Eagles Of Death Metal,Family Affair,48,https://open.spotify.com/track/6lr73ucUCPbdw1Ge4cw4UM
6,Eagles Of Death Metal,Don't Speak (I Came To Make A Bang!),48,https://open.spotify.com/track/32I9MdnqhFLCnAwA2wUnTz
7,Eagles Of Death Metal,I Want You So Hard (Boy's Bad News),48,https://open.spotify.com/track/5Fk03RQDlxc1qWe0ySDohB
8,Eagles Of Death Metal,I Only Want You,43,https://open.spotify.com/track/5D1oPeuU4sGUwI5obM4bKZ
9,Eagles Of Death Metal,Complexity,44,https://open.spotify.com/track/5qVPF3mjUkGSLda9ISeWjF
10,Eagles Of Death Metal,God Of Thunder,42,https://open.spotify.com/track/0YwwW05rEGzJ861Rp1whr3
1,Beastie Boys,Sabotage,71,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9
2,Beastie Boys,Fight For Your Right,68,https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP
3,Beastie Boys,Intergalactic - Remastered,68,https://open.spotify.com/track/5fpizYGbi5IQoEraj6FP0R
4,Beastie Boys,No Sleep Till Brooklyn,67,https://open.spotify.com/track/5qxChyzKLEyoPJ5qGrdurN
5,Beastie Boys,Brass Monkey,62,https://open.spotify.com/track/2tY1gxCKslfXLFpFofYmJQ
6,Beastie Boys,Paul Revere,59,https://open.spotify.com/track/3gKwVWwKmeuFtPubICbOGc
7,Beastie Boys,Girls,58,https://open.spotify.com/track/5h40ovzXu7rF7Giwb9oXYy
8,Beastie Boys,Sure Shot,56,https://open.spotify.com/track/21REQ1bCUWphT2QK3bLWYQ
9,Beastie Boys,So What'Cha Want - 1999 - Remaster,56,https://open.spotify.com/track/25pl7kV4OxafIc9wPAggYf
10,Beastie Boys,Ch-Check It Out,56,https://open.spotify.com/track/56H98l4uinRifnTH8e308N
1,Wes Montgomery,A Day In The Life,59,https://open.spotify.com/track/5FBf12F4ry9TXoZAvISu6F
2,Wes Montgomery,In Your Own Sweet Way,52,https://open.spotify.com/track/5Y8XLhYm4ZeMU25Rg24YoH
3,Wes Montgomery,Bumpin' On Sunset,47,https://open.spotify.com/track/1yxJK6q9oymWO3vjbPCYmp
4,Wes Montgomery,Days Of Wine And Roses,46,https://open.spotify.com/track/1yegDiVa8d94H07ga1SLOt
5,Wes Montgomery,Polka Dots And Moonbeams,40,https://open.spotify.com/track/2M3laSC4qeLl9tWxDEzF4T
6,Wes Montgomery,Four On Six,38,https://open.spotify.com/track/4aOS6YINYO6UAPbiM5RO2U
7,Wes Montgomery,I Wish I Knew,38,https://open.spotify.com/track/1DDaR396iGhz2tqKqJrvoE
8,Wes Montgomery,Mellow Mood,35,https://open.spotify.com/track/0prES3YLpHY1MSs8ucqnQi
9,Wes Montgomery,West Coast Blues,36,https://open.spotify.com/track/1xlNWhgv6MgVKvGK3ZXauZ
10,Wes Montgomery,Tequila,34,https://open.spotify.com/track/4GteYBDgn0o1fnJl6SAsZN
