Rank,Artist,Song,Popularity,URL
Top 1,Pink Sweat$,17,73,https://open.spotify.com/track/034KyQEk7IhbLtniVhBErj
Top 2,Pink Sweat$,Honesty,72,https://open.spotify.com/track/2B1JaRSd7T7YP90n6sCh9I
Top 3,Pink Sweat$,I Wanna Be Yours,65,https://open.spotify.com/track/7fF6u8BlXiA3bJKDuJMKRR
Top 4,Pink Sweat$,Cocaine,64,https://open.spotify.com/track/4p9SsNv4SaXq8yUFk55Hp7
Top 5,Pink Sweat$,Coke & Henny Pt. 2,63,https://open.spotify.com/track/1gBn3RRt2jPquDW6AhHJrs
Top 6,Pink Sweat$,Body Aint Me,61,https://open.spotify.com/track/1oC5ANNzvukx2IyVKkrjZj
Top 7,Pink Sweat$,Would You,58,https://open.spotify.com/track/3kOjVFw4sgfAl3BhPBQubG
Top 8,Pink Sweat$,Honesty - Remix,58,https://open.spotify.com/track/1WMn91p7f5XC7nOeddClml
Top 9,Pink Sweat$,Call Me,54,https://open.spotify.com/track/7CKKHcRb8MwyGkcQTv9VPl
Top 10,Pink Sweat$,No Replacing You,52,https://open.spotify.com/track/76rD80afBzgw0OgsQoKXnT
